Variable,Category,Development,Preprod,Production,Mask in GitLab,Notes
NODE_ENV,Runtime,development,production,production,No,Node process mode
APP_ENV,Runtime,development,preprod,production,No,Application stage
DB_ENABLED,Database,true,true,true,No,Enable TypeORM
MYSQL_HOST,Database,10.1.165.105,10.1.169.88,10.1.165.105,No,Corporate MySQL host
MYSQL_PORT,Database,3308,3308,3308,No,TCP port
MYSQL_USER,Database,my_boss_app,my_boss_app_pre,my_boss_app,No,DB user
MYSQL_PASSWORD,Database,FILL_FROM_DBA,FILL_FROM_DBA,FILL_FROM_DBA,Yes,From DBA — never commit
MYSQL_DATABASE,Database,my_boss,my_boss_pre,my_boss,No,Schema name
MYSQL_CONNECTION_LIMIT,Database,1,1,1,No,Keep at 1 on shared MySQL
DB_SYNCHRONIZE,Database,false,false,false,No,Must stay false — no auto schema
DB_LOGGING,Database,false,false,false,No,SQL logging
JWT_SECRET,Auth,FILL_OPENSSL_RAND_BASE64_48,FILL_OPENSSL_RAND_BASE64_48,FILL_OPENSSL_RAND_BASE64_48,Yes,openssl rand -base64 48
JWT_EXPIRES_IN,Auth,15m,15m,15m,No,Access token TTL
JWT_REFRESH_EXPIRES_IN,Auth,7d,7d,7d,No,Refresh token TTL
INTERNAL_SERVICE_TOKEN,Auth,FILL_OPENSSL_RAND_BASE64_32,FILL_OPENSSL_RAND_BASE64_32,FILL_OPENSSL_RAND_BASE64_32,Yes,Service-to-service auth
PORT,API,3001 (local laptop only),(omit — K8s APP_PORT=80),(omit — K8s APP_PORT=80),No,Do not set in preprod/prod GitLab. Image and K8s listen on 80
API_PORT,API,3001 (local laptop only),(omit),(omit),No,Do not set in preprod/prod GitLab
API_INTERNAL_URL,API,http://127.0.0.1:3001/api/v1 (local laptop only),(omit — do not set),(omit — do not set),No,Do not set in preprod/prod GitLab. No localhost. Optional: K8s Service DNS http://myboss-backend:80/api/v1
TWO_FA_DEMO_ENABLED,OTP,false,false,false,No,Use Orange OTP
OTP_PROVIDER,OTP,orange,orange,orange,No,OTP provider
ORANGE_OTP_ENABLED,OTP,true,true,true,No,Enable Orange Maxit
ORANGE_OTP_FALLBACK_DEMO,OTP,false,false,false,No,No demo OTP codes
ORANGE_OTP_ENV,OTP,production,preprod,production,No,Maxit environment
ORANGE_SSO_TOKEN_URL,OTP,http://10.4.3.27:9001/sso/openid-connect/v1/token,http://10.1.112.95:9001/sso/openid-connect/v1/token,http://10.4.3.27:9001/sso/openid-connect/v1/token,No,Outbound firewall required
ORANGE_SSO_CLIENT_ID,OTP,apigee-app,apigee-app,apigee-app,No,From Orange
ORANGE_SSO_CLIENT_SECRET,OTP,FILL_FROM_ORANGE,FILL_PREPROD_FROM_ORANGE,FILL_FROM_ORANGE,Yes,From Orange
ORANGE_SSO_API_KEY,OTP,FILL_FROM_ORANGE,FILL_FROM_ORANGE,FILL_FROM_ORANGE,Yes,From Orange
ORANGE_EMAIL_API_URL,OTP,http://10.4.3.27:9001/maxit/notification/v1/email/send,http://preprod-notification.xyz.jt.jtgroup/email/send,http://10.4.3.27:9001/maxit/notification/v1/email/send,No,OTP sent to login email address
ORANGE_EMAIL_CLIENT_NAME,OTP,sajelni,sajelni,sajelni,No,Orange email client
ORANGE_EMAIL_CHANNEL,OTP,survey_app,survey_app,survey_app,No,Orange email channel
ORANGE_EMAIL_TYPE,OTP,blank,blank,blank,No,Email template type
ORANGE_EMAIL_API_KEY,OTP,FILL_FROM_ORANGE,FILL_FROM_ORANGE,FILL_FROM_ORANGE,Yes,From Orange
DEMO_ADMIN_EMAIL,Admin,areej.obaid@orange.com,areej.obaid@orange.com,areej.obaid@orange.com,No,Primary admin login
DEMO_ADMIN_EMAILS,Admin,zaid.obeidat@orange.com,zaid.obeidat@orange.com,zaid.obeidat@orange.com,No,Extra admin emails (comma-separated)
DEMO_ADMIN_PASSWORD,Admin,admin123,FILL_STRONG_PASSWORD,FILL_STRONG_PROD_PASSWORD,Yes,Admin password
VITE_API_URL,Admin runtime (myboss-admin only),http://127.0.0.1:3001/api/v1 (local laptop only),TODO_PREPROD_API_PUBLIC_URL/api/v1,TODO_DEPLOY_API_PUBLIC_URL/api/v1,No,Public API URL — no localhost in preprod/prod
CORS_ALLOWED_ORIGINS,API (myboss-backend only),http://127.0.0.1:8081;http://127.0.0.1:5173 (local laptop only),TODO_PREPROD_ADMIN_PUBLIC_URL,TODO_DEPLOY_ADMIN_PUBLIC_URL,No,Public admin URL — no localhost in preprod/prod
VITE_APP_ENV,Admin runtime,development,preprod,production,No,Admin container env at runtime
SWAGGER_ENABLED,API,(default on),false,false,No,Disable API docs in prod/preprod
FCM_ENABLED,Push,false,false,false,No,Set true when Firebase Admin JSON is mounted
FCM_PROJECT_ID,Push,my-customer-my-boss,my-customer-my-boss,my-customer-my-boss,No,Firebase project
FCM_SERVICE_ACCOUNT_PATH,Push,/run/secrets/fcm-service-account.json,/run/secrets/fcm-service-account.json,/run/secrets/fcm-service-account.json,No,Path inside API container
FCM_SERVICE_ACCOUNT_JSON,Push,(optional File variable),(optional File variable),(optional File variable),Yes,GitLab File variable — mount as secret in K8s; never commit JSON
PUSH_DISPATCH_ENABLED,Push,true,true,true,No,Enable push dispatch pipeline
CHAT_ENABLED,Chat,true,true,true,No,Tawk.to widget — outbound HTTPS if enabled
